policy,seed,num_games,num_wins,perc_le_6,avg_time,max_guesses,min_guesses,avg_guesses,median_guesses,std_guesses,perc_correct_letters,perc_misplaced_letters,perc_incorrect_letters
random,42,5000,5000,0.27999999999999997,0.006861361217498779,2314,1,1151.006,1156.0,670.957975706378,7.804188683638487,18.2292255644193,73.96658575194222
smart_random,42,5000,5000,91.74,0.0010380808353424073,10,2,5.01,5.0,1.1420595431062404,40.81037924151696,14.07744510978044,45.112175648702596
probabilistic_greedy,42,5000,5000,97.7,0.01037338433265686,8,1,4.4704,4.0,1.005944252928566,46.159627773801006,12.85522548317824,40.985146743020756
genetic,42,5000,5000,98.9,0.1653439636707306,9,1,3.8608,4.0,1.006887958017151,47.99108992954828,14.778284293410692,37.23062577704103
minimax,42,5000,5000,98.04,0.042025632333755496,9,1,4.501,4.0,1.003194397911007,45.37391690735392,13.94179071317485,40.68429237947122
