policy,seed,num_games,num_wins,avg_time,max_guesses,min_guesses,avg_guesses,median_guesses,std_guesses,perc_correct_letters,perc_misplaced_letters,perc_incorrect_letters
random,42,5000,5000,0.09041276884078979,15913,3,7916.0802,7935.5,4588.739217929901,7.546377814615875,18.88225538695275,73.57136679843137
smart_random,42,5000,5000,0.001637641143798828,15,2,6.2324,6.0,1.4331748811642109,42.44143508118863,14.65631217508504,42.90225274372633
probabilistic_greedy,42,5000,5000,0.012626014423370361,14,2,5.6568,6.0,1.3713547170590141,50.90015556498374,13.307170131523122,35.792674303493136
genetic,42,5000,5000,0.22017225246429442,38,2,7.9764,7.0,3.4624619911271983,42.48984504287648,13.589589288400783,43.92056566872273
minimax,42,5000,5000,0.31329186973571777,15,2,5.7144,6.0,1.347899343422936,49.392412151756965,13.90382192356153,36.703765924681505
