policy,seed,num_games,num_wins,avg_time,max_guesses,min_guesses,avg_guesses,median_guesses,std_guesses,perc_correct_letters,perc_misplaced_letters,perc_incorrect_letters
random,-1,1000,1000,2.268737903356552,125197,2,16124.373,11449.5,16506.61037202583,7.496901739993239,19.20292838673479,73.30016987327197
smart_random,42,1000,1000,0.01588857865333557,13,2,6.243,6.0,1.4177274068028742,42.01826045170591,14.54428960435688,43.43744994393721
minimax,-1,100,100,15.020087549686432,11,3,5.72,6.0,1.4288456879593394,48.81118881118881,14.58041958041958,36.608391608391614
probabilistic_greedy,42,1000,1000,0.11193121218681336,11,1,5.685,6.0,1.3732352311239335,50.87423043095867,13.09410729991205,36.03166226912929
genetic,42,10,10,3.1876314640045167,12,5,8.5,9.0,2.202271554554524,41.17647058823529,16.705882352941178,42.11764705882353
